File,milestone,status,dateSent,dateQueued,mailContent,documents,recipientsDigital,recipientsPhysical
knob,projectdescriptioncomplete,sent,2014-07-20T00:00:00.000Z,2014-07-18T00:00:00.000Z,The Knob Hill Wind Farm Project Description has been Officially Approved,rg:['projectdescription'],"rg:{'name':'Suzanne Boyd', 'email':'SuzanneFBoyd@jourrapide.com'}",rg:None
knob,projectdescriptioncomplete,sent,2014-07-20T00:00:00.000Z,2014-07-18T00:00:00.000Z,The Knob Hill Wind Farm Project Description has been Officially Approved,rg:['projectdescription'],rg:None,"rg:{'name':'Christopher Lemon', 'address':'1019 Hardy Street', 'city':'Kelowna', 'prov':'BC', 'postal':'V1Y 8H2', 'tracking':True, 'dataSent': '2014-07-18T00:00:00.000Z'}"
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
-,-,-,rg:None,rg:None,-,rg:[],rg:None,rg:None
