File,_id,author,instance,comment,isSpam,dateCreated,vettedBy,dataVetted,buckets,issues
knob,0002,Linda Peterson,knobcomment,This project will drastically impact the Bat Population in this region.,rg:False,2014-08-28T00:00:00.000Z,rg:{'_id': '3'},2014-10-19T00:00:00.000Z,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
-,,-,-,-,rg:False,rg:None,#N/A,rg:None,rg:[],rg:[]
