File,_id,assigned,comment,dateAssigned,dateReplied,deliverables
knob-iss0002,0002,rg:{'_id': '3'},Comment from a Working Group member,2014-09-17T00:00:00.000Z,2014-09-29T00:00:00.000Z,rg:[{'_id': 'projectdescription'}]
knob-iss0002,0003,rg:{'_id': '5'},The Squamish FN would like input on this issue,2014-10-21T00:00:00.000Z,2014-11-18T00:00:00.000Z,rg:[{'_id': 'projectdescription'}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
-,,#N/A,-,rg:None,rg:None,rg:[{'_id': ''}]
