File,_id,name,systemRole,projectRole,email,country,address,city,province,postal,viaEmailtrue,viaMailtrue
knob,2,Cary Sechrist,rg:[ { 'role' : 'proponent' } ],rg:[ { 'role' : 'proponent' } ],CaryXSechrist@jourrapide.com,Canada,2262 Burdett Avenue,Victoria,BC,V8Z 2J8,rg:True,rg:False
knob,3,Randy Conrad,rg:[ { 'role' : 'proponent' } ],rg:[ { 'role' : 'proponent' } ],RandyIConrad@dayrep.com,Canada,223 Brew Creek Rd,Whistler,BC,V0N 1B0,rg:True,rg:False
knob,4,Lili Norrell,rg:[ { 'role' : 'eao' } ],rg:[ { 'role' : 'eao' } ],LiliLNorrell@fleckens.hu,Canada,2310 Mesa Vista Drive,Boston Bar,BC,V0K 1C0,rg:True,rg:False
knob,5,William Butler,rg:[ { 'role' : 'eao' } ],rg:[ { 'role' : 'eao' } ],WilliamSButler@einrot.com,Canada,3795 Burdett Avenue,Victoria,BC,V8Y 1Y7,rg:True,rg:False
knob,6,Cecilia Brown,rg:[ { 'role' : 'eao' } ],rg:[ { 'role' : 'eao' } ],CeciliaFBrown@gustr.com,Canada,3746 Noble Rd,Cortes Island,BC,V0P 1T0,rg:False,rg:True
knob,7,Rachel Winston,rg:[ { 'role' : 'eao' } ],rg:[ { 'role' : 'eao' } ],RachelJWinston@superrito.com,Canada,3617 Essendene Avenue,Abbotsford,BC,V2S 2H7,rg:True,rg:False
knob,8,Suzanne Boyd,rg:[ { 'role' : 'wg' } ],rg:[ { 'role' : 'wg' } ],SuzanneFBoyd@jourrapide.com,Canada,2426 Cordova Street,Vancouver,BC,V6B 1E1,rg:True,rg:False
knob,9,Christopher Lemon,rg:[ { 'role' : 'wg' } ],rg:[ { 'role' : 'proponent' } ],ChristopherCLemon@gustr.com,Canada,1019 Hardy Street,Kelowna,BC,V1Y 8H2,rg:False,rg:True
knob,10,Lidia Otis,rg:[ { 'role' : 'public' } ],rg:[ { 'role' : 'wg' } ],LidiaSOtis@einrot.com,Canada,1004 Robson St,Vancouver,BC,V6B 3K9,rg:True,rg:False
knob,11,Linda Peterson,rg:[ { 'role' : 'public' } ],rg:[ { 'role' : 'public' } ],LindaRPeterson@dayrep.com,Canada,3561 Wellington Ave,Chilliwack,BC,V2P 2M1,rg:True,rg:False
-,0,0,rg:[ { 'role' : '' } ],rg:[ { 'role' : '' } ],0,0,0,0,0,0,rg:False,rg:False
-,0,0,rg:[ { 'role' : '' } ],rg:[ { 'role' : '' } ],0,0,0,0,0,0,rg:False,rg:False
-,0,0,rg:[ { 'role' : '' } ],rg:[ { 'role' : '' } ],0,0,0,0,0,0,rg:False,rg:False
-,0,0,rg:[ { 'role' : '' } ],rg:[ { 'role' : '' } ],0,0,0,0,0,0,rg:False,rg:False
-,0,0,rg:[ { 'role' : '' } ],rg:[ { 'role' : '' } ],0,0,0,0,0,0,rg:False,rg:False
