File,type,value,name,email
eaoonly,group,EAO,rg:None,rg:None
eaoonly,email,rg:None,Cary Sechrist,CaryXSechrist@jourrapide.com
eaoprop,group,EAO,rg:None,rg:None
eaoprop,group,Proponent,rg:None,rg:None
eaowg,group,EAO,rg:None,rg:None
eaowg,group,WG,rg:None,rg:None
all,group,Proponent,rg:None,rg:None
all,group,EAO,rg:None,rg:None
all,group,WG,rg:None,rg:None
proponly,group,Proponent,rg:None,rg:None
proponly,email,rg:None,CaryXSechrist@jourrapide.com,Cary Sechrist
proponly,email,rg:None,RandyIConrad@dayrep.com,Randy Conrad
eaoonly,email,rg:None,LiliLNorrell@fleckens.hu,Lili Norrell
eaoonly,email,rg:None,WilliamSButler@einrot.com,William Butler
eaoonly,email,rg:None,CeciliaFBrown@gustr.com,Cecilia Brown
eaoonly,email,rg:None,RachelJWinston@superrito.com,Rachel Winston
eaoprop,email,rg:None,CaryXSechrist@jourrapide.com,Cary Sechrist
eaoprop,email,rg:None,RandyIConrad@dayrep.com,Randy Conrad
eaoprop,email,rg:None,LiliLNorrell@fleckens.hu,Lili Norrell
eaoprop,email,rg:None,WilliamSButler@einrot.com,William Butler
eaoprop,email,rg:None,CeciliaFBrown@gustr.com,Cecilia Brown
eaoprop,email,rg:None,RachelJWinston@superrito.com,Rachel Winston
eaowg,email,rg:None,LiliLNorrell@fleckens.hu,Lili Norrell
eaowg,email,rg:None,WilliamSButler@einrot.com,William Butler
eaowg,email,rg:None,CeciliaFBrown@gustr.com,Cecilia Brown
eaowg,email,rg:None,RachelJWinston@superrito.com,Rachel Winston
eaowg,email,rg:None,SuzanneFBoyd@jourrapide.com,Suzanne Boyd
eaowg,email,rg:None,LidiaSOtis@einrot.com,Lidia Otis
all,email,rg:None,SuzanneFBoyd@jourrapide.com,Suzanne Boyd
all,email,rg:None,LidiaSOtis@einrot.com,Lidia Otis
all,email,rg:None,CaryXSechrist@jourrapide.com,Cary Sechrist
all,email,rg:None,RandyIConrad@dayrep.com,Randy Conrad
all,email,rg:None,LiliLNorrell@fleckens.hu,Lili Norrell
all,email,rg:None,WilliamSButler@einrot.com,William Butler
all,email,rg:None,CeciliaFBrown@gustr.com,Cecilia Brown
all,email,rg:None,RachelJWinston@superrito.com,Rachel Winston
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
-,,rg:None,0,0
